"indicator","Gag Grouper_SEDAR72_Commercial_Catch","Gag Grouper_SEDAR72_Commercial_Catch","Gag Grouper_SEDAR72_Commercial_Catch","Gag Grouper_SEDAR72_Commercial_Catch"
"unit","Thousand pounds","Thousand pounds","Thousand pounds","Thousand pounds"
"extent","commercial_landings","commercial_totcatch","commercial_dead_discards","commercial_ratio"
"2000","2367.4752794","2377.21308594","9.73780653999984","243.122028526153"
"2001","3036.10566072","3091.83404508","55.7283843599998","54.4804177545693"
"2002","2860.21005402","2924.03600764","63.8259536200007","44.8126489585847"
"2003","2510.28174452","2562.9148424","52.6330978799997","47.6939767110667"
"2004","2791.26717738","2850.132736","58.8655586200002","47.4176622598403"
"2005","2385.58402808","2441.24406922","55.6600411400004","42.859904147027"
"2006","1365.321166","1395.64791872","30.3267527200003","45.0203547542886"
"2007","1232.18195958","1262.55500932","30.3730497400002","40.568265950497"
"2008","1288.52984216","1338.11835982","49.5885176599998","25.9844396034323"
"2009","735.532000302","778.84153974","43.309539438","16.983140662462"
"2010","497.883885092","521.83024707","23.946361978","20.7916294570932"
"2011","319.357725808","337.133135944","17.7754101359999","17.966264821154"
"2012","523.308885704","541.903753094","18.59486739","28.1426522022645"
"2013","576.099613914","596.93503661","20.8354226959999","27.650008464892"
"2014","587.428494708","608.90281628","21.474321572","27.3549268012237"
"2015","543.20954952","566.94448844","23.7349389200001","22.8864945197844"
"2016","909.89517564","950.64537172","40.7501960800001","22.3286085262929"
"2017","491.55860985","513.410362366","21.851752516","22.4951572872738"
"2018","491.881366218","514.897599018","23.0162328","21.3710632183908"
"2019","532.350032324","566.676847572","34.326815248","15.5082849509325"
