"indicator","Gag Grouper_SEDAR72_Recreational_Catch","Gag Grouper_SEDAR72_Recreational_Catch","Gag Grouper_SEDAR72_Recreational_Catch","Gag Grouper_SEDAR72_Recreational_Catch"
"unit","Thousands of fish","Thousands of fish","Thousands of fish","Thousands of fish"
"extent","recreational_landings","recreational_totcatch","recreational_dead_discards","recreational_ratio"
"2000","584.8802","785.698","200.8178","2.91249182094416"
"2001","492.9134","793.0688","300.1554","1.6421940101694"
"2002","588.4149","959.5077","371.0928","1.58562736867975"
"2003","685.0676","1036.1324","351.0648","1.95139928582985"
"2004","921.3817","1376.1511","454.7694","2.02604154984922"
"2005","753.3434","1130.1035","376.7601","1.99953073587145"
"2006","342.37616","593.99855","251.62239","1.360674461442"
"2007","324.501","670.188","345.687","0.938713344730927"
"2008","580.2095","1157.5902","577.3807","1.00489936709003"
"2009","443.0621","744.9348","301.8727","1.46771172086777"
"2010","495.9799","759.9157","263.9358","1.87916872209075"
"2011","237.86876","452.0268","214.15804","1.11071599273135"
"2012","188.66879","363.22801","174.55922","1.08082970352411"
"2013","266.21403","436.6742","170.46017","1.56173744282902"
"2014","146.05295","270.79573","124.74278","1.17083289309409"
"2015","79.20654","170.6634","91.45686","0.866053568862959"
"2016","110.86619","218.38823","107.52204","1.03110199546065"
"2017","128.36859","329.42949","201.0609","0.638456258775326"
"2018","148.50955","327.0573","178.54775","0.831763771876151"
"2019","180.47518","361.28764","180.81246","0.998134641827228"
