"indicator","Greater Amberjack_SEDAR70_Recreational_Catch","Greater Amberjack_SEDAR70_Recreational_Catch","Greater Amberjack_SEDAR70_Recreational_Catch","Greater Amberjack_SEDAR70_Recreational_Catch"
"unit","Thousands of fish","Thousands of fish","Thousands of fish","Thousands of fish"
"extent","recreational_landings","recreational_totcatch","recreational_dead_discards","recreational_ratio"
"2000","110.42689","170.39513","59.96824","1.84142289318479"
"2001","136.17549","223.92036","87.74487","1.55194816517478"
"2002","265.8597","380.1275","114.2678","2.32663707536156"
"2003","383.5643","498.1355","114.5712","3.34782475875264"
"2004","258.43529","343.926","85.49071","3.02296343076341"
"2005","261.70423","357.93112","96.22689","2.71965798749186"
"2006","196.04709","272.0508","76.00371","2.57944105623265"
"2007","99.93075","152.95263","53.02188","1.88470778478621"
"2008","89.99231","193.99095","103.99864","0.865321988826008"
"2009","79.07217","153.2029","74.13073","1.06665845594668"
"2010","248.37103","454.00416","205.63313","1.20783567317193"
"2011","141.39333","243.22361","101.83028","1.38851950520022"
"2012","120.56082","207.10954","86.54872","1.39298212613659"
"2013","155.5078","291.15598","135.64818","1.14640535538332"
"2014","110.67066","209.50146","98.8308","1.1197992933377"
"2015","126.11948","232.7986","106.67912","1.18223209940239"
"2016","87.64869","243.08727","155.43858","0.563879893910508"
"2017","51.739158","122.28631","70.547152","0.733398252561634"
"2018","63.08464","137.78032","74.69568","0.844555401329769"
