"indicator","Hogfish_SEDAR37U_RecDev","Hogfish_SEDAR37U_RecDev","Hogfish_SEDAR37U_RecDev"
"unit","log recruitment deviations","log recruitment deviations","log recruitment deviations"
"extent","Value","upper","lower"
"2000","-0.6187920","-0.3427730","-0.8948110"
"2001","-1.6640200","-1.3041780","-2.0238620"
"2002"," 0.3864810"," 0.5670560"," 0.2059060"
"2003","-0.8670430","-0.4680720","-1.2660140"
"2004","-0.4971200","-0.1391360","-0.8551040"
"2005"," 0.6964760"," 0.8548760"," 0.5380760"
"2006"," 1.7999900"," 1.8835878"," 1.7163922"
"2007"," 0.9107700"," 1.0176030"," 0.8039370"
"2008"," 0.9925490"," 1.0735149"," 0.9115831"
"2009","-0.4435540","-0.3140550","-0.5730530"
"2010","-0.4955060","-0.3742810","-0.6167310"
"2011"," 0.6456110"," 0.7284427"," 0.5627793"
"2012"," 0.7121790"," 0.7952604"," 0.6290976"
"2013","-0.0787146"," 0.0425184","-0.1999476"
"2014","-0.6687660","-0.4882650","-0.8492670"
"2015","-0.6807690","-0.4787020","-0.8828360"
"2016","-0.3979340","-0.1857910","-0.6100770"
