"indicator","Red Grouper_SEDAR88_Commercial_Catch","Red Grouper_SEDAR88_Commercial_Catch","Red Grouper_SEDAR88_Commercial_Catch","Red Grouper_SEDAR88_Commercial_Catch"
"unit","Thousand pounds","Thousand pounds","Thousand pounds","Thousand pounds"
"extent","commercial_landings","commercial_totcatch","commercial_dead_discards","commercial_ratio"
"2000","5520.59335124","6136.32167104","615.7283198","8.96595653263632"
"2001","5672.01547132","6382.40356006","710.388088739999","7.98438988663272"
"2002","5773.3706712","6413.40051726","640.02984606","9.02047100887663"
"2003","4752.79475308","5400.67745558","647.8827025","7.33588770735857"
"2004","5408.13568504","6249.4142678","841.27858276","6.42847184733673"
"2005","5383.81652182","6065.82233268","682.005810860001","7.89409186269407"
"2006","5137.43039524","5683.79475598","546.36436074","9.40293834005173"
"2007","3696.14574021","4061.339059052","365.193318842","10.1210661573169"
"2008","4790.93026984","5229.80838248","438.878112639999","10.9163116862241"
"2009","3668.14816852","3897.74831842","229.6001499","15.9762446588891"
"2010","2908.0370803","3149.7626402","241.7255599","12.0303251402253"
"2011","4759.89803872","5306.09705296","546.19901424","8.71458555329523"
"2012","5218.1371242","5622.3101088","404.1729846","12.9106529209622"
"2013","4601.85324016","4858.91854602","257.06530586","17.9014948157423"
"2014","5604.00294432","5841.54193084","237.538986519999","23.5919291667441"
"2015","4802.64562052","4985.87599796","183.230377440001","26.2109683318894"
"2016","4502.33669336","4722.18801362","219.85132026","20.4790068489717"
"2017","3338.05482516","3542.87063702","204.81581186","16.2978375294662"
"2018","2368.21162248","2575.19678042","206.985157939999","11.4414562186459"
"2019","2040.05834472","2264.64739336","224.58904864","9.08351656981308"
"2020","2370.37655932","2604.6372759","234.26071658","10.1185405471537"
"2021","2953.37288598","3172.09764542","218.72475944","13.5026912067089"
"2022","2431.38941782","2599.20729684","167.81787902","14.4882621090106"
