"indicator","Yellowtail Snapper SEDAR96 Biomass"
"unit","Million pounds"
"extent","Area 1"
"2000","7.2397736642"
"2001","7.2073877964"
"2002","7.579924484"
"2003","8.094152099"
"2004","8.413711768"
"2005","8.8138723442"
"2006","9.7122990866"
"2007","9.9928590278"
"2008","10.1816406384"
"2009","9.5830863084"
"2010","9.5328650648"
"2011","9.8060836214"
"2012","10.4040206578"
"2013","11.1982350128"
"2014","11.7864055826"
"2015","12.2931154434"
"2016","12.981243484"
"2017","13.0658347534"
"2018","12.3447476438"
"2019","11.844100488"
"2020","12.093663472"
"2021","12.8847472666"
"2022","13.5169881902"
"2023","14.5772560868"
